year,oda_gni_ratio,indicator,oda,additional_oda,name_short
2024,0.004270250310921747,Full,2195.6586022460056,242.42974916840467,Austria
2025,0.004725208592434789,Full,2468.0837211679177,514.8548680903168,Austria
2026,0.005180166873947832,Full,2742.487749253949,789.2588961763481,Austria
2027,0.005635125155460874,Full,3013.291627993043,1060.0627749154423,Austria
2028,0.006090083436973916,Full,3285.3227959539304,1332.0939428763295,Austria
2029,0.006545041718486958,Full,3563.077646370419,1609.8487932928183,Austria
2030,0.007,Full,3885.664357505469,1932.4355044278682,Austria
2031,0.007,Full,3920.600624993865,1967.3717719162642,Austria
2032,0.007,Full,3955.536892482262,2002.308039404661,Austria
2033,0.007,Full,3990.473159970658,2037.244306893057,Austria
2034,0.007,Full,4025.409427459054,2072.180574381453,Austria
2024,0.004760607544799242,Full,3064.532576283227,272.5803623123079,Belgium
2025,0.005133839620666035,Full,3344.24486251173,552.2926485408107,Belgium
2026,0.0055070716965328285,Full,3631.868271333547,839.9160573626277,Belgium
2027,0.005880303772399622,Full,3925.5070443482214,1133.554830377302,Belgium
2028,0.006253535848266415,Full,4230.703886325299,1438.75167235438,Belgium
2029,0.006626767924133207,Full,4539.3925343192905,1747.4403203483712,Belgium
2030,0.007,Full,4913.207208299877,2121.2549943289573,Belgium
2031,0.007,Full,4972.746388128073,2180.7941741571535,Belgium
2032,0.007,Full,5032.28556795627,2240.3333539853506,Belgium
2033,0.007,Full,5091.824747784467,2299.8725338135478,Belgium
2034,0.007,Full,5151.363927612664,2359.411713641745,Belgium
2024,0.007419377688323991,Full,3048.957302282696,63.60029852780053,Denmark
2025,0.007419377688323991,Full,3094.1912354616998,108.83423170680408,Denmark
2026,0.007419377688323991,Full,3139.3671003177433,154.0100965628476,Denmark
2027,0.007419377688323991,Full,3183.3183687629094,197.96136500801367,Denmark
2028,0.007419377688323991,Full,3227.885161431456,242.5281576765601,Denmark
2029,0.007419377688323991,Full,3273.075220766445,287.7182170115493,Denmark
2030,0.007419377688323991,Full,3362.2092362392646,376.85223248436887,Denmark
2031,0.007419377688323991,Full,3406.7786097221647,421.421605967269,Denmark
2032,0.007419377688323991,Full,3451.3479832050652,465.99097945016956,Denmark
2033,0.007419377688323991,Full,3495.9173566879663,510.5603529330706,Denmark
2034,0.007419377688323991,Full,3540.4867301708664,555.1297264159707,Denmark
2024,0.005275043954538425,Full,16160.342558946777,993.5284138432435,France
2025,0.00556253662878202,Full,17286.855205271568,2120.041060168034,France
2026,0.005850029303025616,Full,18465.410408739786,3298.596263636253,France
2027,0.0061375219772692126,Full,19656.557814411015,4489.7436693074815,France
2028,0.006425014651512809,Full,20874.801246542313,5707.987101438779,France
2029,0.006712507325756404,Full,22101.827907518924,6935.01376241539,France
2030,0.007,Full,23695.770821022947,8528.956675919413,France
2031,0.007,Full,24013.49874527065,8846.684600167115,France
2032,0.007,Full,24331.226669518343,9164.412524414809,France
2033,0.007,Full,24648.954593766044,9482.14044866251,France
2034,0.007,Full,24966.682518013746,9799.868372910212,France
2024,0.007914738588092508,Full,36374.88329277945,54.48832405480789,Germany
2025,0.007914738588092508,Full,36857.27961699107,536.8846482664303,Germany
2026,0.007914738588092508,Full,37392.172960642194,1071.7779919175518,Germany
2027,0.007914738588092508,Full,37809.04535086386,1488.650382139218,Germany
2028,0.007914738588092508,Full,38123.00400367617,1802.6090349515289,Germany
2029,0.007914738588092508,Full,38373.2742826188,2052.8793138941546,Germany
2030,0.007914738588092508,Full,39122.21618550603,2801.821216781391,Germany
2031,0.007914738588092508,Full,39449.24995949824,3128.854990773594,Germany
2032,0.007914738588092508,Full,39776.28373349044,3455.8887647657975,Germany
2033,0.007914738588092508,Full,40103.31750748264,3782.922538758001,Germany
2034,0.007914738588092508,Full,40430.35128147484,4109.956312750197,Germany
2024,0.0032895374876827127,Full,7310.11539840334,1416.0273468608793,Italy
2025,0.003907947906402261,Full,8746.41683398178,2852.32878243932,Italy
2026,0.004526358325121808,Full,10147.690992017946,4253.602940475485,Italy
2027,0.005144768743841356,Full,11571.062289774542,5676.974238232081,Italy
2028,0.005763179162560904,Full,13059.368404976507,7165.280353434046,Italy
2029,0.006381589581280452,Full,14581.24555463917,8687.15750309671,Italy
2030,0.007,Full,16159.61627922515,10265.528227682691,Italy
2031,0.007,Full,16259.907007210906,10365.818955668445,Italy
