year,oda_gni_ratio,indicator,oda,additional_oda,name_short
2032,0.007,Full,16360.19773519666,10466.109683654198,Italy
2033,0.007,Full,16460.488463182417,10566.400411639956,Italy
2034,0.007,Full,16560.77919116817,10666.69113962571,Italy
2024,0.006689559097279975,Full,7278.083603604167,101.62714879889518,Netherlands
2025,0.006741299247733312,Full,7429.393945626406,252.9374908211339,Netherlands
2026,0.00679303939818665,Full,7629.313248570643,452.85679376537064,Netherlands
2027,0.006844779548639987,Full,7834.929940093208,658.4734852879355,Netherlands
2028,0.006896519699093325,Full,8033.483747743162,857.0272929378898,Netherlands
2029,0.006948259849546662,Full,8225.70550122631,1049.2490464210377,Netherlands
2030,0.007,Full,8575.20116625651,1398.744711451237,Netherlands
2031,0.007,Full,8716.936464042941,1540.480009237669,Netherlands
2032,0.007,Full,8858.671761829371,1682.2153070240993,Netherlands
2033,0.007,Full,9000.407059615802,1823.9506048105295,Netherlands
2034,0.007,Full,9142.142357402234,1965.6859025969616,Netherlands
2024,0.002599242913420223,Full,743.4353559139754,218.87049544629917,Portugal
2025,0.0033327024278501857,Full,972.9119359127103,448.3470754450341,Portugal
2026,0.004066161942280148,Full,1210.7705155486278,686.2056550809516,Portugal
2027,0.004799621456710111,Full,1456.7564438547477,932.1915833870714,Portugal
2028,0.005533080971140074,Full,1711.2814614050315,1186.7166009373552,Portugal
2029,0.0062665404855700374,Full,1974.9514223603376,1450.3865618926613,Portugal
2030,0.007,Full,2287.1759580119947,1762.6110975443185,Portugal
2031,0.007,Full,2327.7543914750127,1803.1895310073364,Portugal
2032,0.007,Full,2368.3328249380306,1843.7679644703544,Portugal
2033,0.007,Full,2408.911258401049,1884.3463979333728,Portugal
2034,0.007,Full,2449.489691864067,1924.9248313963908,Portugal
2024,0.009082824509663667,Full,5703.745127654689,12.212302782234474,Sweden
2025,0.009082824509663667,Full,5830.534194841609,139.00136996915444,Sweden
2026,0.009082824509663667,Full,5957.372921063925,265.84009619147037,Sweden
2027,0.009082824509663667,Full,6088.119431379526,396.58660650707134,Sweden
2028,0.009082824509663667,Full,6217.39622524362,525.8634003711659,Sweden
2029,0.009082824509663667,Full,6349.001263882745,657.4684390102902,Sweden
2030,0.009082824509663667,Full,6608.498054956356,916.9652300839016,Sweden
2031,0.009082824509663667,Full,6739.040835895962,1047.5080110235076,Sweden
2032,0.009082824509663667,Full,6869.583616835571,1178.0507919631164,Sweden
2033,0.009082824509663667,Full,7000.126397775177,1308.5935729027224,Sweden
2034,0.009082824509663667,Full,7130.669178714784,1439.1363538423293,Sweden
2024,0.005492031646542102,Full,1620.4126542785773,80.6482808701337,Finland
2025,0.005743359705451751,Full,1725.9893411938956,186.224967785452,Finland
2026,0.005994687764361401,Full,1836.4473594549936,296.68298604655,Finland
2027,0.006246015823271051,Full,1945.742002885696,405.9776294772523,Finland
2028,0.006497343882180701,Full,2056.151189812153,516.3868164037094,Finland
2029,0.00674867194109035,Full,2168.016729123747,628.2523557153036,Finland
2030,0.007,Full,2320.730644266673,780.9662708582296,Finland
2031,0.007,Full,2355.5091629408544,815.7447895324108,Finland
2032,0.007,Full,2390.2876816150356,850.523308206592,Finland
2033,0.007,Full,2425.0662002892172,885.3018268807737,Finland
2034,0.007,Full,2459.8447189633985,920.0803455549549,Finland
2024,0.0067301659325948865,Full,2859.577306660952,60.136059556422424,Ireland
2025,0.006775138277162405,Full,2949.313831628425,149.87258452389506,Ireland
2026,0.006820110621729924,Full,3043.3108690360295,243.86962193149975,Ireland
2027,0.006865082966297443,Full,3140.365010219834,340.92376311530415,Ireland
2028,0.006910055310864962,Full,3240.504461254413,441.06321414988315,Ireland
2029,0.006955027655432481,Full,3343.8521082434236,544.4108611388938,Ireland
2030,0.007,Full,3524.599650709069,725.1584036045392,Ireland
2031,0.007,Full,3605.2302541599647,805.7890070554349,Ireland
2032,0.007,Full,3685.86085761086,886.4196105063302,Ireland
2033,0.007,Full,3766.4914610617557,967.0502139572259,Ireland
2034,0.007,Full,3847.122064512652,1047.680817408122,Ireland
2024,0.009857905051154588,Full,591.2780046388783,7.368007169631483,Luxembourg
2025,0.009857905051154588,Full,608.4547856211831,24.544788151936245,Luxembourg
2026,0.009857905051154588,Full,623.7941355351305,39.88413806588369,Luxembourg
2027,0.009857905051154588,Full,638.3930281528743,54.483030683627476,Luxembourg
2028,0.009857905051154588,Full,653.1747497326438,69.26475226339699,Luxembourg
2029,0.009857905051154588,Full,668.1941489630465,84.28415149379964,Luxembourg
2030,0.009857905051154588,Full,697.9008081428387,113.99081067359191,Luxembourg
2031,0.009857905051154588,Full,712.7008126188107,128.79081514956385,Luxembourg
2032,0.009857905051154588,Full,727.5008170947826,143.5908196255358,Luxembourg
2033,0.009857905051154588,Full,742.3008215707546,158.39082410150775,Luxembourg
2034,0.009857905051154588,Full,757.1008260467266,173.1908285774798,Luxembourg
2024,0.0010362383438536316,Full,29.946947685816163,11.402312716731185,Cyprus
2025,0.0014135319532113597,Full,42.02555360818012,23.48091863909514,Cyprus
2026,0.001790825562569088,Full,54.81571326731125,36.27107829822627,Cyprus
2027,0.002168119171926816,Full,68.40871845987965,49.86408349079467,Cyprus
2028,0.002545412781284544,Full,82.78013826015984,64.23550329107486,Cyprus
2029,0.002922706390642272,Full,97.88290371937131,79.33826875028633,Cyprus
2030,0.0033,Full,116.75756384755546,98.21292887847048,Cyprus
2031,0.0033,Full,119.92701093369602,101.38237596461104,Cyprus
2032,0.0033,Full,123.09645801983665,104.55182305075166,Cyprus
2033,0.0033,Full,126.26590510597721,107.72127013689223,Cyprus
2034,0.0033,Full,129.43535219211782,110.89071722303284,Cyprus
2024,0.0021644656875508383,Full,534.6036097560939,205.75617891787755,Greece
2025,0.002970388072959032,Full,747.836503064794,418.98907222657766,Greece
2026,0.0037763104583672254,Full,966.9577952006183,638.1103643624019,Greece
2027,0.00458223284377542,Full,1188.8787454267044,860.0313145884882,Greece
2028,0.005388155229183613,Full,1416.3593286841754,1087.511897845959,Greece
2029,0.006194077614591806,Full,1648.6215211073884,1319.7740902691721,Greece
2030,0.007,Full,1912.6014515983345,1583.7540207601182,Greece
2031,0.007,Full,1936.1729445640854,1607.325513725869,Greece
2032,0.007,Full,1959.744437529836,1630.8970066916197,Greece
2033,0.007,Full,1983.3159304955864,1654.46849965737,Greece
2034,0.007,Full,2006.8874234613372,1678.039992623121,Greece
2024,0.003500035554588842,Full,74.51919478526527,3.5765563949585584,Malta
2025,0.003500035554588842,Full,77.50726167135947,6.564623281052761,Malta
2026,0.003500035554588842,Full,80.29916538783223,9.35652699752552,Malta
2027,0.003500035554588842,Full,83.10931684101394,12.166678450707224,Malta
2028,0.003500035554588842,Full,86.04720245115846,15.104564060851743,Malta
2029,0.003500035554588842,Full,89.06720287649337,18.124564486186657,Malta
2030,0.003500035554588842,Full,94.8365289659801,23.89389057567338,Malta
2031,0.003500035554588842,Full,97.75920812886714,26.816569738560432,Malta
2032,0.003500035554588842,Full,100.6818872917542,29.739248901447482,Malta
2033,0.003500035554588842,Full,103.60456645464126,32.661928064334546,Malta
2034,0.003500035554588842,Full,106.52724561752831,35.584607227221596,Malta
2024,0.003090887175039105,Full,4965.283759699488,1119.5735341044474,Spain
2025,0.0037424059791992537,Full,6137.053921336361,2291.3436957413205,Spain
2026,0.004393924783359403,Full,7336.617136512195,3490.906910917155,Spain
2027,0.005045443587519552,Full,8561.597294725876,4715.887069130836,Spain
2028,0.0056969623916797016,Full,9825.326633394248,5979.616407799208,Spain
2029,0.006348481195839851,Full,11126.068083989656,7280.3578583946155,Spain
2030,0.007,Full,12659.026729653933,8813.316504058894,Spain
2031,0.007,Full,12852.314154740316,9006.603929145276,Spain
2032,0.007,Full,13045.601579826698,9199.891354231659,Spain
2033,0.007,Full,13238.889004913079,9393.178779318037,Spain
2034,0.007,Full,13432.176429999463,9586.466204404423,Spain
2024,0.002542205383447779,Full,178.00064267328068,12.174834364704566,Slovenia
2025,0.002668504486206482,Full,191.51712622258188,25.691317914005765,Slovenia
2026,0.002794803588965186,Full,205.99613639227408,40.17032808369797,Slovenia
2027,0.002921102691723889,Full,221.11863536107396,55.29282705249784,Slovenia
2028,0.003047401794482593,Full,236.90907879986693,71.08327049129082,Slovenia
2029,0.0031737008972412967,Full,253.38801171190065,87.56220340332453,Slovenia
2030,0.0033,Full,276.78716695289506,110.96135864431895,Slovenia
2031,0.0033,Full,283.5335518899822,117.7077435814061,Slovenia
2032,0.0033,Full,290.2799368270694,124.45412851849326,Slovenia
2033,0.0033,Full,297.0263217641566,131.20051345558048,Slovenia
2034,0.0033,Full,303.77270670124375,137.94689839266763,Slovenia
2024,0.0022096508635929797,Full,172.16344344163318,18.76191880802196,Croatia
2025,0.0023913757196608165,Full,191.4211654640725,38.01964083046127,Croatia
2026,0.002573100575728653,Full,211.60466038808534,58.20313575447412,Croatia
2027,0.00275482543179649,Full,232.52470411771407,79.12317948410285,Croatia
2028,0.0029365502878643266,Full,254.30795635186107,100.90643171824985,Croatia
2029,0.0031182751439321633,Full,277.0636904642029,123.6621658305917,Croatia
2030,0.0033,Full,307.6959283629105,154.29440372929926,Croatia
2031,0.0033,Full,314.9717208617988,161.5701962281876,Croatia
2032,0.0033,Full,322.24751336068715,168.84598872707593,Croatia
2033,0.0033,Full,329.5233058595755,176.12178122596427,Croatia
2034,0.0033,Full,336.7990983584638,183.3975737248526,Croatia
2024,0.0025486489094303758,Full,785.5679802151384,43.46439402783324,Czechia
2025,0.00267387409119198,Full,840.7650754073605,98.66148922005539,Czechia
2026,0.002799099272953584,Full,898.6317084021301,156.52812221482498,Czechia
2027,0.002924324454715188,Full,959.4737425567002,217.3701563693951,Czechia
2028,0.0030495496364767918,Full,1023.0799173722345,280.97633118492934,Czechia
2029,0.003174774818238396,Full,1089.6200403975947,347.51645421028957,Czechia
2030,0.0033,Full,1180.1376191402646,438.0340329529595,Czechia
2031,0.0033,Full,1204.5230619491074,462.41947576180223,Czechia
2032,0.0033,Full,1228.9085047579501,486.804918570645,Czechia
2033,0.0033,Full,1253.293947566793,511.19036137948774,Czechia
2034,0.0033,Full,1277.6793903756354,535.5758041883303,Czechia
2024,0.0016290612834999004,Full,224.73495235968574,42.21045636816274,Slovakia
2025,0.0019075510695832504,Full,269.9955635484985,87.47106755697553,Slovakia
2026,0.0021860408556666003,Full,318.0756154130813,135.55111942155833,Slovakia
2027,0.0024645306417499504,Full,368.27726598877155,185.75276999724855,Slovakia
2028,0.0027430204278333,Full,420.9601523044719,238.43565631294888,Slovakia
2029,0.00302151021391665,Full,476.2180220123586,293.6935260208356,Slovakia
2030,0.0033,Full,546.5454942058825,364.0209982143595,Slovakia
2031,0.0033,Full,559.8623355058015,377.3378395142785,Slovakia
2032,0.0033,Full,573.1791768057205,390.65468081419755,Slovakia
2033,0.0033,Full,586.4960181056396,403.97152211411657,Slovakia
2034,0.0033,Full,599.8128594055585,417.2883634140355,Slovakia
2024,0.0020700470957613812,Full,201.6101189711138,24.803852062845976,Bulgaria
2025,0.002275039246467818,Full,228.055471699774,51.24920479150617,Bulgaria
2026,0.002480031397174254,Full,255.88920657454173,79.08293966627392,Bulgaria
2027,0.002685023547880691,Full,284.3807635851559,107.57449667688806,Bulgaria
2028,0.002890015698587127,Full,314.48002106090746,137.67375415263965,Bulgaria
2029,0.0030950078492935637,Full,345.4912901389972,168.6850232307294,Bulgaria
2030,0.0033,Full,387.0988357431066,210.29256883483876,Bulgaria
2031,0.0033,Full,396.39245115984363,219.58618425157582,Bulgaria
2032,0.0033,Full,405.68606657658074,228.87979966831293,Bulgaria
2033,0.0033,Full,414.97968199331774,238.17341508504992,Bulgaria
2034,0.0033,Full,424.2732974100548,247.46703050178698,Bulgaria
2024,0.0017441496562031187,Full,381.60937167279616,63.73661136297068,Hungary
2025,0.0020034580468359323,Full,453.00560055445567,135.1328402446302,Hungary
2026,0.0022627664374687455,Full,525.964167410372,208.09140710054658,Hungary
2027,0.0025220748281015596,Full,603.8257495927821,285.95298928295665,Hungary
2028,0.0027813832187343727,Full,687.2174589283934,369.3446986185679,Hungary
2029,0.0030406916093671864,Full,775.3279332902151,457.45517298038965,Hungary
2030,0.0033,Full,889.304964390502,571.4322040806766,Hungary
2031,0.0033,Full,914.1001705041106,596.2274101942851,Hungary
2032,0.0033,Full,938.8953766177186,621.0226163078931,Hungary
2033,0.0033,Full,963.6905827313269,645.8178224215014,Hungary
2034,0.0033,Full,988.4857888449352,670.6130285351097,Hungary
2024,0.0033649655577683416,Full,2715.677838637095,80.84573138208498,Poland
2025,0.0033649655577683416,Full,2810.080346318429,175.24823906341862,Poland
2026,0.0033649655577683416,Full,2902.7002331371523,267.86812588214207,Poland
2027,0.0033649655577683416,Full,2989.667772438099,354.8356651830886,Poland
2028,0.0033649655577683416,Full,3078.4290047809263,443.5968975259161,Poland
2029,0.0033649655577683416,Full,3171.133040162109,536.3009329070987,Poland
2030,0.0033649655577683416,Full,3350.060195324593,715.228088069583,Poland
2031,0.0033649655577683416,Full,3439.5377976662453,804.7056904112351,Poland
2032,0.0033649655577683416,Full,3529.0154000078974,894.1832927528872,Poland
2033,0.0033649655577683416,Full,3618.4930023495494,983.6608950945392,Poland
2034,0.0033649655577683416,Full,3707.9706046912015,1073.1384974361913,Poland
2024,0.0018566396583842614,Full,671.8615972797814,102.82155347112337,Romania
2025,0.0020971997153202177,Full,786.2417409748862,217.2016971662281,Romania
2026,0.002337759772256174,Full,910.1612233954609,341.1211795868028,Romania
2027,0.0025783198291921307,Full,1042.4553536989538,473.4153098902957,Romania
2028,0.0028188798861280874,Full,1180.7477151007263,611.7076712920682,Romania
2029,0.0030594399430640433,Full,1326.3640655173006,757.3240217086425,Romania
2030,0.0033,Full,1527.643259698451,958.6032158897929,Romania
2031,0.0033,Full,1576.2645115599817,1007.2244677513236,Romania
2032,0.0033,Full,1624.8857634215121,1055.845719612854,Romania
2033,0.0033,Full,1673.5070152830424,1104.4669714743843,Romania
2034,0.0033,Full,1722.1282671445729,1153.0882233359148,Romania
2024,0.002833788207010762,Full,115.31815423635082,2.5649707710319944,Estonia
2025,0.002911490172508968,Full,121.06505738186782,8.31187391654899,Estonia
2026,0.0029891921380071746,Full,126.78314470094521,14.029961235626388,Estonia
2027,0.003066894103505381,Full,132.58020244220674,19.827018976887913,Estonia
2028,0.0031445960690035875,Full,138.67946935415208,25.92628588883325,Estonia
2029,0.0032222980345017935,Full,145.0304952323828,32.27731176706398,Estonia
2030,0.0033,Full,154.15272070104444,41.39953723572562,Estonia
2031,0.0033,Full,157.00673212372462,44.25354865840579,Estonia
2032,0.0033,Full,159.8607435464048,47.107560081085964,Estonia
2033,0.0033,Full,162.714754969085,49.961571503766166,Estonia
2034,0.0033,Full,165.56876639176517,52.81558292644634,Estonia
2024,0.0033405915084046473,Full,148.13772632087304,2.4141037943351478,Latvia
2025,0.0033405915084046473,Full,151.74366707249553,6.0200445459576315,Latvia
2026,0.0033405915084046473,Full,155.51697216280093,9.79334963626303,Latvia
2027,0.0033405915084046473,Full,159.3866385390146,13.663016012476703,Latvia
2028,0.0033405915084046473,Full,163.35266620113669,17.62904367459879,Latvia
2029,0.0033405915084046473,Full,167.42519844242054,21.701575915882643,Latvia
2030,0.0033405915084046473,Full,175.26427357850744,29.540651051969547,Latvia
2031,0.0033405915084046473,Full,179.23368233838067,33.51005981184278,Latvia
2032,0.0033405915084046473,Full,183.20309109825388,37.479468571715984,Latvia
2033,0.0033405915084046473,Full,187.17249985812708,41.44887733158919,Latvia
2034,0.0033405915084046473,Full,191.14190861800026,45.41828609146236,Latvia
2024,0.0028865409987375314,Full,200.7364669975114,9.025545436851274,Lithuania
2025,0.002955450832281276,Full,210.5833261967842,18.872404636124088,Lithuania
2026,0.0030243606658250212,Full,220.3647109839366,28.653789423276464,Lithuania
2027,0.003093270499368766,Full,230.3993355629328,38.68841400227268,Lithuania
2028,0.0031621803329125106,Full,240.75774785664868,49.04682629598855,Lithuania
2029,0.0032310901664562553,Full,251.4884827435371,59.77756118287698,Lithuania
2030,0.0033,Full,267.6922968413058,75.98137528064566,Lithuania
2031,0.0033,Full,273.1600706078316,81.44914904717146,Lithuania
2032,0.0033,Full,278.6278443743575,86.91692281369737,Lithuania
2033,0.0033,Full,284.0956181408833,92.38469658022316,Lithuania
2034,0.0033,Full,289.56339190740914,97.85247034674902,Lithuania
