year,Africa,Developing countries,share
1960,1137.746153846154,4057.2000000000003,28.04
1961,1358.2635122520421,4970.33,27.33
1962,1420.9328401826483,5072.780000000001,28.01
1963,1481.51,5540.360000000001,26.74
1964,1510.3700000000001,5272.33,28.65
1965,1383.78,5471.320000000001,25.29
1966,1268.950426269778,5402.389999999999,23.49
1967,1372.4800592057761,5523.1900000000005,24.85
1968,1136.1426587170142,5051.17,22.49
1969,1054.1081685847116,4792.33,22.0
1970,1057.597856348677,4864.91,21.74
1971,1162.7229757022535,5415.7300000000005,21.47
1972,1130.4996717867925,5429.929999999999,20.82
1973,1291.4264077875678,5698.4400000000005,22.66
1974,1682.243756097561,6473.290000000001,25.99
1975,2838.1602046300127,10036.92,28.28
1976,3028.8276622755984,9966.51,30.39
1977,3682.070445763053,10970.119999999999,33.56
1978,5158.883825542339,14537.93,35.49
1979,5586.608859102083,15766.6,35.43
1980,7120.592117459892,19464.39,36.58
1981,7140.606612652797,18767.82,38.05
1982,7438.095101131299,19806.89,37.55
1983,7516.967794448546,21071.03,35.67
1984,8354.79970654591,21911.01,38.13
1985,8412.318138153609,22395.14,37.56
1986,9933.754380478993,27331.489999999998,36.35
1987,11492.239571233677,30697.53,37.44
1988,10449.236554276053,28831.170000000002,36.24
1989,13371.598320998673,34005.71,39.32
1990,16385.92422426508,38734.759999999995,42.3
1991,16597.342645199315,42318.57,39.22
1992,17824.080540495175,45423.38,39.24
1993,15517.688907803757,41195.439999999995,37.67
1994,16058.486862608801,42451.869999999995,37.83
1995,13856.936371530388,39511.51,35.07
1996,12991.68205698494,38269.28,33.95
1997,12040.262510050792,32818.94,36.69
1998,11723.696146917553,34536.51,33.95
1999,12194.679903684231,39888.72000000001,30.57
2000,12949.39206707733,40123.85999999999,32.27
2001,12854.634519228503,39755.090000000004,32.33
2002,15155.02725285245,43040.58,35.21
2003,20583.014563815974,50923.73,40.42
2004,22254.161259012555,58777.48000000001,37.86
2005,27235.82576333703,82785.55,32.9
2006,36505.98080670354,78444.78,46.54
2007,27821.855473103555,72061.23999999999,38.61
2008,32001.954568433324,85451.43000000001,37.45
2009,32598.262859849303,84515.37,38.57
2010,34391.20136871489,90538.22,37.99
2011,38363.511930368106,100371.27,38.22
2012,38888.4448843604,95657.44,40.65
2013,37932.21423211016,99693.44999999998,38.05
2014,39046.2090703092,103937.36000000002,37.57
2015,35111.857199621125,97952.86,35.85
2016,38273.01818372685,112792.45000000001,33.93
2017,40905.25021415193,116820.95000000001,35.02
2018,42049.152023373055,117548.81,35.77
2019,39716.02670823946,111467.14,35.63
2020,48070.39391152106,130352.65,36.88
2021,50540.24198449502,147596.82,34.24
2022,45421.438973915276,176073.19,25.8
